ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DO VALE DO RIO DOS SINOS;BOLSA INTEGRAL;Presencial;Arquitetura E Urbanismo;Noturno;M;Branca;1998-10-01;N;MG;BELO HORIZONTE;22
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Ciências Econômicas;Noturno;M;Branca;1997-07-27;N;MG;CONQUISTA;23
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Comunicação Social Com Habilitação Em Publicidade E Propaganda;Matutino;M;Branca;1995-12-20;N;MG;SANTA RITA DO SAPUCAI;25
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Direito;Matutino;M;Amarela;1997-01-21;N;MG;POUSO ALEGRE;24
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Direito;Matutino;M;Branca;1997-01-03;N;MG;ERVALIA;24
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Engenharia Da Computação;Integral;M;Branca;2000-02-21;N;MG;ESTIVA;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Engenharia Da Computação;Integral;M;Parda;1997-03-02;N;MG;ARACUAI;24
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Engenharia De Computação;Integral;M;Branca;2000-02-21;N;MG;ESTIVA;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Engenharia De Controle E Automação;Noturno;M;Branca;1999-12-18;N;MG;POCOS DE CALDAS;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;BOLSA INTEGRAL;Presencial;Medicina;Integral;M;Branca;1997-05-20;N;MG;SAO GOTARDO;23
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Letras - Português/Inglês;Matutino;M;Parda;1996-07-23;N;MG;MONTES CLAROS;24
2018;UNIVERSIDADE CATÓLICA DE PELOTAS;BOLSA INTEGRAL;Presencial;Medicina;Integral;M;Parda;2000-06-22;N;MG;MURIAE;20
2018;UNIVERSIDADE CATÓLICA DE PELOTAS;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Branca;1999-11-11;N;MG;CARMO DO PARANAIBA;21
2018;UNIVERSIDADE CATÓLICA DE PELOTAS;BOLSA INTEGRAL;Presencial;Medicina (Anual);Integral;M;Branca;1998-07-17;N;MG;PIMENTA;22
2018;UNIVERSIDADE CATÓLICA DE PELOTAS;BOLSA INTEGRAL;Presencial;Medicina (Anual);Integral;F;Branca;1999-11-11;N;MG;CARMO DO PARANAIBA;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Administração;Noturno;M;Parda;1999-12-06;N;MG;COMERCINHO;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Arquitetura E Urbanismo;Integral;M;Branca;1992-01-25;N;MG;POUSO ALEGRE;29
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Parda;1999-06-01;N;MG;ABADIA DOS DOURADOS;21
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Publicidade E Propaganda;Matutino;F;Branca;1999-10-29;N;MG;MUNHOZ;21
