ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Filosofia;Matutino;M;Preta;1981-01-26;N;RJ;RIO DE JANEIRO;40
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;BOLSA INTEGRAL;Presencial;Direito;Noturno;F;Parda;1997-07-19;N;RJ;MACAE;23
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Filosofia - Bacharelado;Matutino;M;Preta;1981-01-26;N;RJ;RIO DE JANEIRO;40
2018;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;BOLSA INTEGRAL;Presencial;Jogos Digitais;Noturno;M;Parda;1995-10-21;N;RJ;ITATIAIA;25
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;EAD;História;Curso a distância;F;Parda;2000-01-14;N;RJ;MAGE;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;EAD;Pedagogia;Curso a distância;F;Branca;2000-06-28;N;RJ;SAO JOSE DO VALE DO RIO PRETO;20
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;EAD;Pedagogia;Curso a distância;F;Branca;2000-02-23;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;EAD;Pedagogia;Curso a distância;F;Branca;1997-11-14;N;RJ;TERESOPOLIS;23
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Administração;Noturno;F;Preta;1994-12-15;N;RJ;PETROPOLIS;26
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Arquitetura E Urbanismo;Noturno;F;Branca;1998-12-08;N;RJ;SAO JOSE DO VALE DO RIO PRETO;22
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Arquitetura E Urbanismo;Noturno;M;Parda;1999-12-22;N;RJ;AREAL;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Biomedicina;Noturno;F;Branca;2000-11-07;N;RJ;PETROPOLIS;20
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Biomedicina;Noturno;F;Parda;1988-05-21;N;RJ;PETROPOLIS;32
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Ciências Contábeis;Noturno;M;Branca;2000-01-09;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Comunicação Social - Publicidade E Propaganda;Noturno;F;Parda;2000-11-07;N;RJ;MAGE;20
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Direito;Matutino;M;Parda;1996-06-17;N;RJ;TRES RIOS;24
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Direito;Noturno;F;Parda;1997-08-06;N;RJ;PETROPOLIS;23
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Direito;Noturno;F;Parda;1999-07-28;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Educaçao Física;Noturno;M;Parda;1996-03-19;N;RJ;DUQUE DE CAXIAS;25
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Engenharia Civil;Noturno;F;Branca;1999-12-11;N;RJ;GUAPIMIRIM;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Engenharia Mecânica;Noturno;M;Branca;1999-12-29;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Engenharia Mecânica;Noturno;M;Branca;1995-07-15;N;RJ;PETROPOLIS;25
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;História;Noturno;F;Branca;1996-07-19;N;RJ;PETROPOLIS;24
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Letras - Língua Portuguesa;Noturno;F;Preta;1992-03-07;N;RJ;MAGE;29
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Letras - Língua Portuguesa;Noturno;F;Branca;1999-08-21;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Pedagogia;Noturno;F;Preta;2000-06-08;N;RJ;PETROPOLIS;20
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Relações Internacionais;Noturno;M;Preta;1991-09-05;N;RJ;PETROPOLIS;29
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Relações Internacionais;Noturno;F;Branca;1998-09-22;N;RJ;PETROPOLIS;22
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Teologia;Matutino;M;Preta;1998-01-02;N;RJ;PETROPOLIS;23
2018;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;BOLSA INTEGRAL;Presencial;Teologia;Matutino;M;Preta;1999-11-26;N;RJ;PETROPOLIS;21
2018;UNIVERSIDADE PRESBITERIANA MACKENZIE;BOLSA INTEGRAL;Presencial;Direito;Noturno;M;Branca;1998-04-11;N;RJ;RESENDE;22
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA INTEGRAL;Presencial;História;Noturno;M;Parda;1977-12-16;N;RJ;MACAE;43
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA INTEGRAL;Presencial;Letras;Noturno;F;Parda;1993-05-11;N;RJ;MACAE;27
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA INTEGRAL;Presencial;Pedagogia;Noturno;F;Branca;1999-09-10;N;RJ;MACAE;21
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA INTEGRAL;Presencial;Pedagogia;Noturno;F;Parda;1999-01-26;N;RJ;MACAE;22
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Geografia;Noturno;M;Parda;1999-05-07;N;RJ;MACAE;21
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Geografia;Noturno;M;Preta;1998-02-18;N;RJ;MACAE;23
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;História;Noturno;M;Parda;2000-06-15;N;RJ;RIO DAS OSTRAS;20
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;História;Noturno;M;Parda;1999-07-23;N;RJ;QUISSAMA;21
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;História;Noturno;M;Preta;1998-01-08;N;RJ;MACAE;23
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Letras;Noturno;M;Parda;1995-08-11;N;RJ;CABO FRIO;25
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Letras;Noturno;F;Parda;2000-01-31;N;RJ;MACAE;21
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Letras - Português;Noturno;M;Parda;1995-08-11;N;RJ;CABO FRIO;25
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Matemática;Noturno;M;Parda;1998-09-23;N;RJ;MACAE;22
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Pedagogia;Noturno;F;Branca;1995-07-14;N;RJ;MACAE;25
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Pedagogia;Noturno;F;Branca;1999-11-19;N;RJ;CASIMIRO DE ABREU;21
2018;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ;BOLSA PARCIAL 50%;Presencial;Pedagogia;Noturno;F;Branca;1996-08-17;N;RJ;MACAE;24
